Genus,species,Strain,FileName,Marine,Ome,Taxa,PennateCentric,PennateCentric_citekey,Rad1_um,Rad2_um,Rad3_um,Rad_citekey,Flagella,Flagella_citekey,GenomeSize_mbp,GeneModels_count,Genome_ref,Genome_citekey,Database,AccessionInfo,LiveLink,Latitude,Longitude,LogLat_citekey,ColonySpecies,Colony_citekey,Notes
Guillardia,theta,CCMP2712,Guillardia_theta_CCMP2712-aa-gen,yes,Genome,Cryptophyte,NA,NA,2.5,2.5,4.75,[@re3data.orgBigelowNationalCenter2017],yes,[@hillGuillardiaThetaGen1990],87.16,24840,NA,[@curtisAlgalGenomesReveal2012],JGI,,https://mycocosm.jgi.doe.gov/Guith1/Guith1.home.html,41.2264,-73.0639,[@re3data.orgBigelowNationalCenter2017],0,[@re3data.orgBigelowNationalCenter2017],NA
Guillardia,theta,CCMP2712,Guillardia_theta_CCMP2712-dna-trans,yes,Transcriptome,Cryptophyte,NA,NA,2.5,2.5,4.75,[@re3data.orgBigelowNationalCenter2017],yes,[@hillGuillardiaThetaGen1990],1,0,NA,[@curtisAlgalGenomesReveal2012],JGI,,https://mycocosm.jgi.doe.gov/Guith1/Guith1.home.html,41.2264,-73.0639,[@re3data.orgBigelowNationalCenter2017],0,[@re3data.orgBigelowNationalCenter2017],NA
Phaeodactylum,tricornutum,CCAP1055/1,Phaeodactylum_tricornutum_CCAP10551-aa-gen,yes,Genome,Diatom,Pennate,[@karlsonNordicMicroalgae2020],1.75,1.75,21,[@karlsonNordicMicroalgae2020],no,[@iwasaMotilityDiatomPhaeodactylum1972],27.4507,10402,NA,[@bowlerPhaeodactylumGenomeReveals2008],NCBI,,https://www.ncbi.nlm.nih.gov/assembly/GCF_000150955.2/,54,4,[@re3data.orgBigelowNationalCenter2017],0,[@ovaozcanEvaluationInteractionTemperature2020],NA
Phaeodactylum,tricornutum,CCAP1055/1,Phaeodactylum_tricornutum_CCAP10551-dna-trans,yes,Transcriptome,Diatom,Pennate,[@karlsonNordicMicroalgae2020],1.75,1.75,21,[@karlsonNordicMicroalgae2020],no,[@iwasaMotilityDiatomPhaeodactylum1972],1,0,NA,[@bowlerPhaeodactylumGenomeReveals2008],NCBI,,https://www.ncbi.nlm.nih.gov/assembly/GCF_000150955.2/,54,4,[@re3data.orgBigelowNationalCenter2017],0,[@ovaozcanEvaluationInteractionTemperature2020],NA
Fistulifera,solaris,JPCC_DA0580,Fistulifera_solaris_JPCCDA0580-aa-gen,yes,Genome,Diatom,Pennate,[@matsumotoMorphologicalMolecularPhylogenetic2014],1.9,1.9,3.375,[@matsumotoMorphologicalMolecularPhylogenetic2014],no,[@nanjappaDiatomFlagellarGenes2017],49.74,20429,NA,[@tanakaOilAccumulationOleaginous2015],JGI,,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Fisso0,28.15,129.24,[@matsumotoMorphologicalMolecularPhylogenetic2014],0,[@matsumotoMorphologicalMolecularPhylogenetic2014a],NA
Fistulifera,solaris,JPCC_DA0580,Fistulifera_solaris_JPCCDA0580-dna-trans,yes,Transcriptome,Diatom,Pennate,[@matsumotoMorphologicalMolecularPhylogenetic2014],1.9,1.9,3.375,[@matsumotoMorphologicalMolecularPhylogenetic2014],no,[@nanjappaDiatomFlagellarGenes2017],1,0,NA,[@tanakaOilAccumulationOleaginous2015],JGI,,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Fisso1,28.15,129.24,[@matsumotoMorphologicalMolecularPhylogenetic2014],0,[@matsumotoMorphologicalMolecularPhylogenetic2014a],NA
Thalassiosira,pseudonana,CCMP1335,Thalassiosira_pseudonana_CCMP1335-aa-gen,yes,Genome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],2.25,2.25,2.5,[@re3data.orgBigelowNationalCenter2017],no,[@misumiGenomeAnalysisIts2008],32.1,11776,NA,[@armbrustGenomeDiatomThalassiosira2004],PicoPlaza,,https://bioinformatics.psb.ugent.be/plaza/versions/pico-plaza/download,40.756,-72.82,[@re3data.orgBigelowNationalCenter2017],0,[@hevia-orubeMolecularMorphologicalAnalyses2016],NA
Thalassiosira,pseudonana,CCMP1335,Thalassiosira_pseudonana_CCMP1335-dna-trans,yes,Transcriptome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],2.25,2.25,2.5,[@re3data.orgBigelowNationalCenter2017],no,[@misumiGenomeAnalysisIts2008],1,0,NA,[@armbrustGenomeDiatomThalassiosira2004],NCBI,,https://www.ncbi.nlm.nih.gov/genome/?term=txid35128[orgn],40.756,-72.82,[@re3data.orgBigelowNationalCenter2017],0,[@hevia-orubeMolecularMorphologicalAnalyses2016],NA
Thalassiosira,oceanica,CCMP1005,Thalassiosira_oceanica_CCMP1005-aa-gen,yes,Genome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],4,4,4,[@re3data.orgBigelowNationalCenter2017],no,[@nanjappaDiatomFlagellarGenes2017],92.19,34642,NA,[@lommerRecentTransferIronRegulated2010],NCBI,,https://www.ncbi.nlm.nih.gov/genome/3436,33.1833,-65.85,[@re3data.orgBigelowNationalCenter2017],0,[@bucciarelliEffectsIronlightColimitation2009],NA
Thalassiosira,oceanica,CCMP1005,Thalassiosira_oceanica_CCMP1005-dna-trans,yes,Transcriptome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],4,4,4,[@re3data.orgBigelowNationalCenter2017],no,[@nanjappaDiatomFlagellarGenes2017],1,0,NA,[@lommerRecentTransferIronRegulated2010],NCBI,,https://www.ncbi.nlm.nih.gov/genome/3437,33.1833,-65.85,[@re3data.orgBigelowNationalCenter2017],0,[@bucciarelliEffectsIronlightColimitation2009],NA
